id,color1,color2,displacement1,displacement2,mile1,mile2,year1,year2,licensed_city1,licensed_city2,title1,title2,fuel_type1,fuel_type2,register_time1,register_time2,owner_price1,owner_price2,is_import1,is_import2,transfer_times1,transfer_times2,displacement_standard1,displacement_standard2,gearbox1,gearbox2,is_same,displacement_diff,displacement_diff_sparse,mile_diff,mile_diff_rate,mile_diff_rate_sparse,mile_diff_sparse,year_diff,year_diff_sparse,licensed_city_diff_sparse,title_diff,title_diff_sparse,register_time_diff,register_time_diff_sparse,owner_price_diff,is_import_diff_sparse,transfer_times_diff,transfer_times_diff_sparse,colorp1,colorp2,fuel_typep1,fuel_typep2,gearboxp1,gearboxp2
1,白,白,1.4,-1.0,4.75,9.1,2011.0,-1.0,北京,北京,大众-高尔夫 2011款 1.4TSI 自动舒适型,大众 高尔夫 2012款 2.0TSI GTI,-1,-1,2012-06-01,2014-06-01,-1.0,-1.0,0.0,0.0,0.0,1.0,-1,-1,-1,AT,0,-1.0,0.5,-4.35,-0.31407942238267145,0.0,0.0,-1.0,0.5,2.0,8.0,0.0,-24.0,0.0,-1.0,2.0,-1.0,1,0,0,-1,-1,-1,1
2,银灰,黑,2.0,-1.0,5.22,7.9,2012.0,-1.0,上海,杭州,福特-福克斯 2012款 三厢 2.0L 自动旗舰型,福特 福克斯 2009款 两厢 1.8L 自动时尚型,-1,-1,2013-04-01,2010-06-01,-1.0,-1.0,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,-1.0,0.5,-2.6800000000000006,-0.20426829268292687,0.0,0.0,-1.0,0.5,0.0,7.0,0.0,34.0,0.0,-1.0,2.0,0.0,2,11,7,-1,-1,-1,1
3,银灰,其他,1.6,-1.0,6.86,15.7,2011.0,-1.0,哈尔滨,哈尔滨,大众-速腾 2011款 1.6L 自动舒适型,大众 速腾 2006款 1.6L自动时尚型,-1,-1,2011-12-01,2006-07-01,-1.0,-1.0,0.0,0.0,0.0,2.0,-1,-1,-1,AT,0,-1.0,0.5,-8.84,-0.3918439716312057,0.0,0.0,-1.0,0.5,2.0,4.0,1.0,65.0,0.0,-1.0,2.0,-2.0,0,11,-1,-1,-1,-1,1
4,白,其他,2.0,-1.0,4.13,15.3,2012.0,-1.0,南京,南京,别克-君威 2012款 2.0L 舒适版,别克 君威 2004款 2.5L 豪华型,-1,-1,2013-10-01,2003-07-01,-1.0,-1.0,0.0,0.0,0.0,1.0,-1,-1,-1,AT,0,-1.0,0.5,-11.170000000000002,-0.5748841996911993,0.0,0.0,-1.0,0.5,2.0,6.0,0.0,123.0,0.0,-1.0,2.0,-1.0,1,0,-1,-1,-1,-1,1
5,黑,黑,1.8,-1.0,11.16,7.3,2013.0,-1.0,北京,北京,大众-帕萨特 2013款 1.8TSI DSG至尊版,大众 帕萨特 2013款 2.0TSI DSG御尊版,-1,-1,2014-01-01,2013-08-01,-1.0,-1.0,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,-1.0,0.5,3.86,0.20910075839653305,0.0,0.0,-1.0,0.5,2.0,3.0,1.0,5.0,0.0,-1.0,2.0,0.0,2,7,7,-1,-1,-1,1
6,银灰,黑,1.6,-1.0,5.62,11.6,2013.0,-1.0,宁波,宁波,大众-朗逸 2013款 1.6L 手动风尚版,大众 朗逸 2008款 1.6L 自动品悠版,-1,-1,2012-09-01,2008-11-01,-1.0,-1.0,0.0,0.0,1.0,2.0,-1,-1,-1,AT,0,-1.0,0.5,-5.98,-0.3472706155632985,0.0,0.0,-1.0,0.5,2.0,5.0,0.0,46.0,0.0,-1.0,2.0,-1.0,1,11,7,-1,-1,-1,1
7,其他,白,1.6,-1.0,8.58,2.3,2009.0,-1.0,石家庄,石家庄,雪佛兰-科鲁兹 2009款 1.6L SE AT,雪佛兰 科鲁兹 2015款 1.5L 经典 SE AT,-1,-1,2009-07-01,2015-04-01,-1.0,-1.0,0.0,0.0,1.0,0.0,-1,-1,-1,AT,0,-1.0,0.5,6.28,0.5772058823529412,0.0,0.0,-1.0,0.5,2.0,5.0,0.0,-69.0,0.0,-1.0,2.0,1.0,1,-1,0,-1,-1,-1,1
8,其他,其他,1.0,-1.0,3.82,24.0,2013.0,-1.0,枣庄,枣庄,铃木-奥拓 2013款 1.0L 手动舒适型,铃木 奥拓 2006款 0.8L 快乐王子,-1,-1,2014-12-01,2006-04-01,-1.0,-1.0,0.0,0.0,0.0,1.0,-1,-1,-1,MT,0,-1.0,0.5,-20.18,-0.7253774263120057,0.0,0.0,-1.0,0.5,2.0,9.0,0.0,104.0,0.0,-1.0,2.0,-1.0,1,-1,-1,-1,-1,-1,1
9,白,白,1.6,-1.0,6.73,5.2,2013.0,-1.0,黔南,盐城,标致-308 2013款 1.6L 自动风尚型,标致 标致308 2012款 1.6L 自动优尚型,-1,-1,2014-02-01,2012-12-01,-1.0,-1.0,0.0,0.0,0.0,0.0,-1,-1,-1,AT,0,-1.0,0.5,1.5300000000000002,0.1282481139983236,0.0,1.0,-1.0,0.5,0.0,4.0,1.0,14.0,0.0,-1.0,2.0,0.0,2,0,0,-1,-1,-1,1
10,银灰,其他,2.0,-1.0,5.22,11.6,2012.0,-1.0,上海,青岛,福特-福克斯 2012款 三厢 2.0L 自动旗舰型,福特 福克斯 2009款 两厢 1.8L 手动舒适型,-1,-1,2013-04-01,2009-09-01,-1.0,-1.0,0.0,0.0,0.0,0.0,-1,-1,-1,MT,0,-1.0,0.5,-6.38,-0.3793103448275862,0.0,0.0,-1.0,0.5,0.0,8.0,0.0,43.0,0.0,-1.0,2.0,0.0,2,11,-1,-1,-1,-1,1
