c_price,max_price,min_price,dealer_price,car_model,fuel_type,register_city,model_generation,is_electric_skylight,is_panoramic_sunroof,far_beam,dipped_headlight,new_car_price,transfer_times,price,target,model_id,register_date,deal_date,gear_num,province,used_ages,bumper_change,bumper_chromatic,bumper_flaw,bumper_metal,bumper_spray,car_box_type,car_height,car_length,car_level,car_width,chromatic_num,color,deal_city,deal_time_quarter,displacement,door_change,door_chromatic,door_flaw,door_metal,door_spray,drive_mode,driving_seat_abnormal,driving_seat_abrasion,driving_seat_blister,driving_seat_damage,driving_seat_disassembly,driving_seat_flaw,driving_seat_smudginess,edition,emission,engine_intake_form,fender_change,fender_chromatic,fender_flaw,fender_metal,fender_spray,front_light_change,front_light_damage,front_light_flaw,gdp_level,gearbox_type,manufacturer,max_horse_power,metal_num,mileage,model_age,model_brand,model_series,model_year,pillar_change,pillar_chromatic,pillar_flaw,pillar_metal,pillar_spray,power_displacement_cartesian,region,seat_flaw,spray_num,steering_wheel_flaw,tire_flaw,transmission,transmission_case,trunk_change,trunk_chromatic,trunk_flaw,trunk_injury,trunk_metal,trunk_spray,change_num,used_months,engine_vehicle_launch_flawnum,engine_valve_chamber_cover_flawnum,engine_cistern_flawnum,engine_accumulator_flawnum,engine_steering_mast_flawnum,engine_room_line_sediment_flawnum,engine_brake_level_flawnum,engine_oil_flawnum,engine_cylinder_removalnum,engine_defectnum,engine_flawnum,engine_harness_changenum,engine_harness_sootingnum,engine_harness_carbonizationnum,engine_harness_flawnum,engine_firewall_bulkhead_changenum,engine_firewall_bulkhead_sootingnum,engine_firewall_bulkhead_carbonizationnum,engine_firewall_bulkhead_blisters_tracesnum,engine_firewall_bulkheadd_flawnum,engine_gearbox_flawnum,engine_removable_tank_framework_flawnum,engine_non_removable_tank_framework_changenum,engine_non_removable_framework_defectnum,engine_non_removable_framework_flawnum,bottom_bigside_flawnum,bottom_bigside_changenum,bottom_bigside_metalnum,bottom_bigside_spraynum,bottom_bigside_chromaticnum,bottom_bigside_weldnum,bottom_bigside_injurynum,bottom_bigside_injury_sagnum,bottom_bigside_injury_scratchnum,bottom_bigside_injury_brokennum,bottom_bigside_injury_scarsnum,bottom_bigside_injury_cracknum,bottom_bigside_repairnum,id
29.96,-1.0,-1.0,-1.0,宝马5系 2014款 525li 豪华设计套装,汽油,长沙,1,1,0,氙气,氙气,49.96,0,35.8,34.98,9800,2015-06-01,2017-10-06,8,湖南,3,0,0,0,0,0,三厢,1.49,5.06,中大型车,1.86,0,灰,长沙,5,2.0,0,0,0,0,0,后驱,0,0,0,0,0,0,0,豪华,4,涡轮增压,0,0,0,0,0,0,0,0,1,手自一体变速箱(AT),华晨宝马,7,0,2.32,3,宝马,宝马5系,2014,0,0,0,0,0,7_2.0,华中,0,0,0,0,自动,8,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338
25.89,30.2,28.6,-1.0,宝马5系 2014款 525li 领先型,汽油,广州,1,1,0,氙气,氙气,46.66,0,30.5,29.8,9799,2013-12-01,2017-09-30,8,广东,4,0,0,3,1,2,三厢,1.49,5.06,中大型车,1.86,0,白,广州,4,2.0,0,0,0,0,0,后驱,0,1,0,0,0,1,0,领先,4,涡轮增压,1,0,4,0,3,0,0,0,0,手自一体变速箱(AT),华晨宝马,7,1,9.5,3,宝马,宝马5系,2014,0,0,0,0,0,7_2.0,华南,3,5,1,0,自动,8,0,0,0,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352
28.9,29.1,27.8,-1.0,宝马5系 2014款 525li 领先型,汽油,青岛,1,1,0,氙气,氙气,46.66,1,32.0,30.8,9799,2014-10-01,2017-11-01,8,山东,4,0,0,0,0,0,三厢,1.49,5.06,中大型车,1.86,0,金,青岛,5,2.0,0,0,0,0,0,后驱,0,0,0,0,0,0,0,领先,4,涡轮增压,0,0,0,0,0,0,0,0,1,手自一体变速箱(AT),华晨宝马,7,0,3.29,3,宝马,宝马5系,2014,0,0,0,0,0,7_2.0,华东,0,0,0,0,自动,8,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665
21.67,21.5,20.3,-1.0,宝马5系 2012款 523li 领先型,汽油,成都,1,1,0,-1,氙气,45.96,0,24.5,23.8,12603,2012-08-01,2017-11-13,8,四川,6,0,0,3,1,2,三厢,1.47,5.04,中大型车,1.86,0,白,成都,5,2.5,0,0,2,0,2,后驱,0,0,0,0,0,0,0,领先,4,自然吸气,0,0,3,1,2,0,0,0,1,手自一体变速箱(AT),华晨宝马,7,2,8.1,5,宝马,宝马5系,2012,0,0,0,0,0,7_2.5,西南,0,6,0,0,自动,8,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796
18.99,20.9,19.7,-1.0,宝马5系 2012款 520li 典雅型,汽油,平顶山,1,1,0,-1,氙气,42.86,1,22.3,21.5,12602,2012-09-01,2017-12-01,8,河南,6,0,0,2,0,2,三厢,1.47,5.04,中大型车,1.86,0,黑,郑州,5,2.5,0,0,4,2,2,后驱,0,1,0,0,0,1,0,典雅,4,自然吸气,0,0,5,2,3,0,0,0,1,手自一体变速箱(AT),华晨宝马,5,4,9.3,5,宝马,宝马5系,2012,0,0,0,0,0,5_2.5,华中,1,7,0,0,自动,8,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845
22.54,24.8,23.7,-1.0,宝马5系 2014款 520li 典雅型,汽油,郑州,1,1,0,氙气,氙气,43.56,0,26.8,27.0,9798,2014-09-01,2017-11-18,8,河南,4,0,0,2,0,2,三厢,1.49,5.06,中大型车,1.86,0,棕,郑州,5,2.0,0,0,1,0,1,后驱,0,0,0,0,0,0,0,典雅,4,涡轮增压,0,0,3,0,3,0,0,0,1,手自一体变速箱(AT),华晨宝马,6,0,9.5,3,宝马,宝马5系,2014,0,0,0,0,0,6_2.0,华中,0,7,0,0,自动,8,0,0,1,0,0,1,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934
31.56,30.0,28.6,-1.0,宝马5系 2014款 528li 领先型,汽油,济南,1,1,0,氙气(选装LED),氙气(选装LED),55.06,0,34.2,33.8,14378,2015-12-01,2017-11-26,8,山东,2,2,0,4,0,2,三厢,1.49,5.06,中大型车,1.86,0,白,济南,5,2.0,0,0,0,0,0,后驱,0,0,0,0,0,0,0,领先,4,涡轮增压,1,0,4,1,2,2,0,2,2,手自一体变速箱(AT),华晨宝马,9,1,4.3,3,宝马,宝马5系,2014,0,0,0,0,0,9_2.0,华东,0,6,0,0,自动,8,0,0,0,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1053
24.26,24.4,23.3,-1.0,宝马5系 2014款 520li 典雅型,汽油,北京,1,1,0,氙气,氙气,43.56,0,30.32,29.5,9798,2014-01-01,2017-11-28,8,北京,4,0,0,1,0,1,三厢,1.49,5.06,中大型车,1.86,0,灰,北京,5,2.0,0,0,1,0,1,后驱,0,0,0,0,0,0,0,典雅,5,涡轮增压,0,0,2,1,1,0,0,0,0,手自一体变速箱(AT),华晨宝马,6,1,2.32,3,宝马,宝马5系,2014,0,0,0,0,0,6_2.0,华北,0,3,0,0,自动,8,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076
28.2,30.4,29.0,-1.0,宝马5系 2014款 525li 豪华设计套装,汽油,广州,1,1,0,氙气,氙气,49.96,0,32.0,30.8,9800,2014-06-01,2017-11-30,8,广东,4,0,0,2,0,2,三厢,1.49,5.06,中大型车,1.86,0,金,广州,5,2.0,0,0,1,0,1,后驱,0,0,0,0,0,0,0,豪华,4,涡轮增压,0,0,1,0,1,0,0,0,0,手自一体变速箱(AT),华晨宝马,7,0,9.2,3,宝马,宝马5系,2014,0,0,0,0,0,7_2.0,华南,0,4,0,3,自动,8,0,0,0,0,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131
24.03,25.2,23.9,-1.0,宝马5系 2013款 525li 领先型,汽油,上海,1,1,0,-1,氙气,45.96,0,27.5,25.8,9810,2013-10-01,2017-12-04,8,上海,5,0,0,2,0,2,三厢,1.49,5.04,中大型车,1.86,0,白,上海,5,2.0,0,0,1,0,1,后驱,0,0,0,0,0,0,0,领先,4,涡轮增压,0,0,4,1,3,0,0,0,0,手自一体变速箱(AT),华晨宝马,7,1,9.63,4,宝马,宝马5系,2013,0,0,0,0,0,7_2.0,华东,0,6,0,0,自动,8,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201
